name,passed,category,failure_category,failures,duration_seconds
primaryNavigation_chatsActionsToolsRoundTrip,True,primary_navigation,,,1.325
primaryNavigation_actionsToolsActions,True,primary_navigation,,,1.105
primaryNavigation_toolsChatsTools,True,primary_navigation,,,1.18
primaryNavigation_repeatedTabTapStable,True,primary_navigation,,,1.029
primaryNavigation_noStaleChildScreen,True,primary_navigation,,,1.43
toolsRow_matrixNavigateAndBack,True,tools_row_navigation,,,5.591
learnToActions_exampleOpensDraftPrefill,True,learn_to_actions_draft,,,1.129
learnToActions_dismissDraftThenSwitchTabs,True,learn_to_actions_draft,,,1.656
drawer_opensFromToolsViaMenuButton,True,drawer_entry_point,,,1.029
drawer_opensFromChatsViaMenuButton,True,drawer_entry_point,,,0.753
drawer_navigationBackToTools,True,drawer_entry_point,,,2.434
drawer_bottomNavStateAfterDrawerNavigation,True,drawer_entry_point,,,1.205
