name,passed,category,failure_category,failures,duration_seconds
toolsRouteMatrix_allRowsNavigateAndBack,True,tools_row_navigation,,,7.745
tabs_chatsActionsTools_roundTrip,True,tab_switching,,,1.743
tools_childDestination_back_toTools,True,tab_switching,,,0.829
tools_childDestination_actions_thenTools,True,tab_switching,,,1.205
tools_childDestination_chats_thenTools,True,tab_switching,,,1.106
actions_tools_switching,True,tab_switching,,,0.855
actions_draftRoute_dismiss_back_toTools,True,parameterised_route,,,1.006
actions_draftRoute_chats_then_tools,True,parameterised_route,,,1.354
drawer_opens_fromTools,True,drawer,,,0.628
drawer_navigatesFromTools_predictable_stack,True,drawer,,,0.829
drawer_navigatesFromChats,True,drawer,,,0.629
repeatedToolsTab_noDuplicateStacks,True,repeated_tap,,,0.678
repeatedTabSwitches_noStaleState,True,repeated_tap,,,0.753
reopenSameChildDestination_noDuplicateStack,True,repeated_tap,,,0.928
repeatedToolsRowTap_noDuplicateStacks,True,repeated_tap,,,0.831
toolsLearn_example_dismissActions_returnToTools,True,repeated_tap,,,0.932
realToolsHubScreen_rendersAllRows,True,real_composable,,,1.18
realPrimaryBottomBar_rendersAndNavigates,True,real_composable,,,0.98
realToolsHubScreen_toolbarOpensDrawer,True,real_composable,,,0.528
captureScreenshot_toolsHub,True,screenshot,,,0.83
captureScreenshot_toolsLearnChild,True,screenshot,,,0.829
captureScreenshot_toolsChildDestination,True,screenshot,,,0.855
captureScreenshot_actionsDraftDismissedBackToTools,True,screenshot,,,1.105
captureScreenshot_drawerOpenFromTools,True,screenshot,,,0.803
captureScreenshot_afterTabSwitch,True,screenshot,,,0.929
