name,passed,category,failure_category,failures,duration_seconds
toolsRouteMatrix_allRowsNavigateAndBack,True,tools_row_navigation,,,8.198
tabs_chatsActionsTools_roundTrip,True,tab_switching,,,1.426
tools_childDestination_back_toTools,True,tab_switching,,,0.702
tools_childDestination_actions_thenTools,True,tab_switching,,,1.28
tools_childDestination_chats_thenTools,True,tab_switching,,,1.156
actions_tools_switching,True,tab_switching,,,0.853
actions_draftRoute_dismiss_back_toTools,True,parameterised_route,,,0.954
actions_draftRoute_chats_then_tools,True,parameterised_route,,,1.256
drawer_opens_fromTools,True,drawer,,,0.629
drawer_navigatesFromTools_predictable_stack,True,drawer,,,0.774
drawer_navigatesFromChats,True,drawer,,,0.554
repeatedToolsTab_noDuplicateStacks,True,repeated_tap,,,0.628
repeatedTabSwitches_noStaleState,True,repeated_tap,,,0.885
reopenSameChildDestination_noDuplicateStack,True,repeated_tap,,,0.852
repeatedToolsRowTap_noDuplicateStacks,True,repeated_tap,,,0.78
toolsLearn_example_dismissActions_returnToTools,True,repeated_tap,,,0.929
realToolsHubScreen_rendersAllRows,True,real_composable,,,1.077
realPrimaryBottomBar_rendersAndNavigates,True,real_composable,,,1.086
realToolsHubScreen_toolbarOpensDrawer,True,real_composable,,,0.428
captureScreenshot_toolsHub,True,screenshot,,,0.829
captureScreenshot_toolsLearnChild,True,screenshot,,,0.805
captureScreenshot_toolsChildDestination,True,screenshot,,,0.908
captureScreenshot_actionsDraftDismissedBackToTools,True,screenshot,,,1.081
captureScreenshot_drawerOpenFromTools,True,screenshot,,,0.73
captureScreenshot_afterTabSwitch,True,screenshot,,,0.978
