name,passed,category,failure_category,failures,duration_seconds
toolsRouteMatrix_allRowsNavigateAndBack,True,tools_row_navigation,,,7.797
tabs_chatsActionsTools_roundTrip,True,tab_switching,,,1.399
tools_childDestination_back_toTools,True,tab_switching,,,0.778
tools_childDestination_actions_thenTools,True,tab_switching,,,1.18
tools_childDestination_chats_thenTools,True,tab_switching,,,1.08
actions_tools_switching,True,tab_switching,,,0.954
actions_draftRoute_dismiss_back_toTools,True,parameterised_route,,,0.93
actions_draftRoute_chats_then_tools,True,parameterised_route,,,1.331
drawer_opens_fromTools,True,drawer,,,0.653
drawer_navigatesFromTools_predictable_stack,True,drawer,,,0.854
drawer_navigatesFromChats,True,drawer,,,0.629
repeatedToolsTab_noDuplicateStacks,True,repeated_tap,,,0.628
repeatedTabSwitches_noStaleState,True,repeated_tap,,,0.879
reopenSameChildDestination_noDuplicateStack,True,repeated_tap,,,0.88
repeatedToolsRowTap_noDuplicateStacks,True,repeated_tap,,,0.778
toolsLearn_example_dismissActions_returnToTools,True,repeated_tap,,,0.979
realToolsHubScreen_rendersAllRows,True,real_composable,,,1.079
realPrimaryBottomBar_rendersAndNavigates,True,real_composable,,,1.032
realToolsHubScreen_toolbarOpensDrawer,True,real_composable,,,0.478
captureScreenshot_toolsHub,True,screenshot,,,0.854
captureScreenshot_toolsLearnChild,True,screenshot,,,0.853
captureScreenshot_toolsChildDestination,True,screenshot,,,0.929
captureScreenshot_actionsDraftDismissedBackToTools,True,screenshot,,,1.08
captureScreenshot_drawerOpenFromTools,True,screenshot,,,0.803
captureScreenshot_afterTabSwitch,True,screenshot,,,0.955
