name,passed,category,failure_category,failures,duration_seconds
toolsRouteMatrix_allRowsNavigateAndBack,True,,,,
tabs_chatsActionsTools_roundTrip,True,,,,
tools_childDestination_back_toTools,True,,,,
tools_childDestination_actions_thenTools,True,,,,
tools_childDestination_chats_thenTools,True,,,,
actions_tools_switching,True,,,,
actions_draftRoute_dismiss_back_toTools,True,,,,
actions_draftRoute_chats_then_tools,True,,,,
drawer_opens_fromTools,True,,,,
drawer_navigatesFromTools_predictable_stack,True,,,,
drawer_navigatesFromChats,True,,,,
repeatedToolsTab_noDuplicateStacks,True,,,,
repeatedTabSwitches_noStaleState,True,,,,
reopenSameChildDestination_noDuplicateStack,True,,,,
repeatedToolsRowTap_noDuplicateStacks,True,,,,
toolsLearn_example_dismissActions_returnToTools,True,,,,
realToolsHubScreen_rendersAllRows,True,,,,
realPrimaryBottomBar_rendersAndNavigates,True,,,,
realToolsHubScreen_toolbarOpensDrawer,True,,,,
captureScreenshot_toolsHub,True,,,,
captureScreenshot_toolsLearnChild,True,,,,
captureScreenshot_toolsChildDestination,True,,,,
captureScreenshot_actionsDraftDismissedBackToTools,True,,,,
captureScreenshot_drawerOpenFromTools,True,,,,
captureScreenshot_afterTabSwitch,True,,,,
