name,passed,category,failure_category,failures,duration_seconds
toolsRouteMatrix_allRowsNavigateAndBack,True,tools_row_navigation,,,9.199
tabs_chatsActionsTools_roundTrip,True,tab_switching,,,1.693
tools_childDestination_back_toTools,True,tab_switching,,,0.854
tools_childDestination_actions_thenTools,True,tab_switching,,,1.33
tools_childDestination_chats_thenTools,True,tab_switching,,,1.13
actions_tools_switching,True,tab_switching,,,0.979
actions_draftRoute_dismiss_back_toTools,True,parameterised_route,,,0.904
actions_draftRoute_chats_then_tools,True,parameterised_route,,,1.331
drawer_opens_fromTools,True,drawer,,,0.552
drawer_navigatesFromTools_predictable_stack,True,drawer,,,0.603
drawer_navigatesFromChats,True,drawer,,,0.528
repeatedToolsTab_noDuplicateStacks,True,repeated_tap,,,0.753
repeatedTabSwitches_noStaleState,True,repeated_tap,,,0.929
reopenSameChildDestination_noDuplicateStack,True,repeated_tap,,,0.829
repeatedToolsRowTap_noDuplicateStacks,True,repeated_tap,,,0.854
toolsLearn_example_dismissActions_returnToTools,True,repeated_tap,,,1.054
captureScreenshot_toolsHub,True,screenshot,,,1.018
captureScreenshot_toolsLearnChild,True,screenshot,,,0.929
captureScreenshot_toolsChildDestination,True,screenshot,,,0.954
captureScreenshot_actionsDraftDismissedBackToTools,True,screenshot,,,0.853
captureScreenshot_drawerOpenFromTools,True,screenshot,,,0.678
captureScreenshot_afterTabSwitch,True,screenshot,,,0.979
