source,suite,timestamp,commit,device_id,case,passed,expected_result_mode,actual_result_mode,failure_category,failures
ci,ci,2026-06-09T22:40:18Z,a672a78830e3df6dc5644544d0016878c1976b88,ubuntu-latest,python_compile_checks,True,success,success,,
ci,ci,2026-06-09T22:40:18Z,a672a78830e3df6dc5644544d0016878c1976b88,ubuntu-latest,fixture_schema_validation,True,success,success,,
ci,ci,2026-06-09T22:40:18Z,a672a78830e3df6dc5644544d0016878c1976b88,ubuntu-latest,gradle_build,True,success,success,,
ci,ci,2026-06-09T22:40:18Z,a672a78830e3df6dc5644544d0016878c1976b88,ubuntu-latest,gradle_lint,True,success,success,,
ci,ci,2026-06-09T22:40:18Z,a672a78830e3df6dc5644544d0016878c1976b88,ubuntu-latest,unit_tests,True,success,success,,
